age,job,marital,education,balance,housing,loan,contact,campaign,pdays,previous,poutcome,purchase
56,admin.,married,tertiary,-79,yes,no,cellular,9,-1,0,failure,no
69,entrepreneur,married,secondary,9465,yes,no,unknown,3,-1,1,unknown,yes
46,retired,single,secondary,446,no,no,telephone,10,-1,3,success,no
32,retired,married,primary,8878,no,no,unknown,4,7,4,failure,no
60,self-employed,married,secondary,1334,no,no,cellular,10,-1,2,unknown,no
25,management,married,tertiary,1064,yes,no,unknown,8,-1,3,success,no
38,blue-collar,married,secondary,6832,no,no,cellular,6,-1,4,unknown,no
56,services,married,secondary,4444,no,no,cellular,7,14,1,failure,no
36,student,married,secondary,9639,yes,no,unknown,7,-1,5,other,no
40,retired,married,tertiary,808,yes,no,unknown,4,22,2,failure,no
28,services,married,primary,2486,yes,no,cellular,6,-1,5,failure,no
28,self-employed,married,secondary,-114,no,no,cellular,9,25,0,unknown,no
41,admin.,married,secondary,5631,yes,no,cellular,3,21,5,unknown,no
70,housemaid,married,secondary,8853,no,no,cellular,8,-1,0,unknown,no
53,blue-collar,married,tertiary,2758,no,no,cellular,7,25,4,success,no
57,technician,divorced,secondary,5621,no,yes,unknown,4,-1,3,unknown,no
41,services,married,primary,4311,no,no,telephone,10,-1,1,unknown,no
20,admin.,single,secondary,6074,no,no,telephone,3,-1,4,failure,no
39,student,married,secondary,6197,yes,yes,telephone,7,-1,1,unknown,no
70,entrepreneur,single,secondary,3433,no,no,cellular,10,7,5,unknown,no
19,technician,single,primary,939,yes,no,telephone,9,11,1,unknown,no
41,self-employed,married,secondary,5669,no,yes,cellular,10,-1,5,unknown,no
61,entrepreneur,divorced,secondary,3980,yes,no,cellular,3,-1,1,other,no
47,student,married,tertiary,-445,no,no,cellular,10,-1,2,other,no
55,admin.,married,tertiary,2824,no,no,cellular,9,2,4,unknown,no
19,retired,single,secondary,6277,no,yes,telephone,8,-1,2,unknown,no
38,entrepreneur,single,secondary,-395,yes,no,unknown,3,22,3,other,no
50,self-employed,married,tertiary,2701,yes,no,cellular,8,-1,3,other,no
29,technician,married,secondary,169,no,no,telephone,4,-1,0,unknown,no
39,management,married,tertiary,8434,yes,no,cellular,6,18,0,unknown,no
61,unemployed,married,tertiary,466,no,no,telephone,10,-1,0,unknown,no
42,services,single,secondary,-193,yes,yes,cellular,2,-1,3,success,no
66,retired,married,secondary,1638,no,no,cellular,8,-1,1,unknown,no
44,entrepreneur,married,secondary,-391,yes,no,cellular,9,-1,5,unknown,no
59,housemaid,married,tertiary,3132,no,no,cellular,7,29,1,unknown,no
45,services,married,secondary,6228,no,no,cellular,8,-1,4,unknown,no
33,management,married,secondary,5184,yes,no,unknown,7,-1,3,unknown,no
32,student,single,tertiary,5999,yes,no,cellular,10,-1,5,unknown,no
64,unemployed,divorced,primary,1415,yes,no,unknown,4,-1,5,unknown,no
68,admin.,single,secondary,56,no,yes,telephone,1,13,5,unknown,no
61,management,married,primary,7119,yes,no,cellular,3,24,0,other,yes
69,management,single,secondary,-396,no,no,cellular,7,20,5,failure,yes
20,student,single,secondary,1547,yes,no,telephone,7,-1,5,unknown,no
54,blue-collar,single,secondary,-355,yes,no,cellular,3,-1,3,unknown,yes
68,student,married,secondary,373,yes,no,telephone,1,-1,1,unknown,no
24,blue-collar,married,secondary,-202,yes,no,cellular,10,1,1,unknown,no
38,blue-collar,married,secondary,2738,yes,no,cellular,9,-1,2,success,yes
26,retired,married,primary,8337,no,no,unknown,6,-1,2,unknown,no
56,retired,married,tertiary,5882,no,no,cellular,7,23,4,unknown,no
35,technician,married,tertiary,2011,yes,no,cellular,1,-1,3,unknown,yes
21,entrepreneur,married,secondary,6096,no,yes,cellular,1,-1,2,success,yes
42,entrepreneur,single,secondary,283,no,yes,telephone,4,-1,2,unknown,no
31,self-employed,married,secondary,4492,yes,no,telephone,7,-1,3,success,no
67,admin.,married,tertiary,-130,yes,yes,cellular,8,-1,1,unknown,no
26,entrepreneur,divorced,primary,-14,yes,no,cellular,10,-1,4,unknown,no
43,retired,divorced,secondary,6878,yes,yes,cellular,9,-1,4,failure,no
70,technician,single,secondary,9729,no,no,cellular,1,-1,4,unknown,yes
19,technician,divorced,secondary,2696,no,yes,cellular,4,9,2,other,no
37,blue-collar,married,secondary,9052,yes,no,unknown,4,-1,1,unknown,no
45,self-employed,divorced,secondary,3787,yes,no,cellular,3,4,4,unknown,no
64,student,married,tertiary,1761,no,no,cellular,7,-1,3,other,no
24,admin.,married,tertiary,8648,no,no,unknown,1,-1,4,other,yes
61,blue-collar,married,secondary,8072,no,no,cellular,9,25,0,unknown,no
25,student,married,secondary,-262,no,no,cellular,8,-1,1,unknown,no
64,entrepreneur,married,primary,6343,yes,yes,cellular,2,-1,0,other,no
52,self-employed,single,secondary,605,no,no,cellular,2,18,1,success,yes
31,blue-collar,single,secondary,886,no,no,unknown,8,-1,5,other,no
34,services,married,secondary,9941,yes,no,cellular,1,-1,3,unknown,no
53,entrepreneur,married,secondary,9219,no,yes,cellular,7,-1,5,unknown,yes
67,student,single,secondary,1167,yes,no,cellular,9,3,2,failure,no
57,admin.,single,tertiary,2191,yes,no,unknown,3,21,2,other,no
21,student,married,secondary,7256,yes,no,cellular,7,-1,5,failure,no
19,blue-collar,single,secondary,1496,yes,no,cellular,6,-1,1,unknown,no
23,blue-collar,married,tertiary,925,yes,no,unknown,7,-1,4,unknown,no
59,management,married,secondary,7523,yes,no,cellular,7,-1,0,unknown,no
21,admin.,divorced,tertiary,6349,yes,no,telephone,10,-1,3,unknown,no
46,housemaid,married,tertiary,2747,yes,no,cellular,1,-1,4,unknown,yes
35,entrepreneur,married,secondary,2092,yes,no,telephone,3,-1,2,unknown,no
43,technician,single,tertiary,990,yes,no,cellular,10,-1,4,success,no
61,admin.,single,secondary,724,no,yes,cellular,1,25,5,unknown,no
51,technician,married,primary,2087,yes,no,telephone,5,-1,5,unknown,no
27,admin.,married,secondary,7214,yes,no,cellular,3,-1,0,other,no
53,admin.,married,primary,2564,no,no,cellular,1,-1,2,unknown,yes
31,student,single,tertiary,7304,no,no,cellular,2,25,1,unknown,yes
48,admin.,married,secondary,332,no,no,cellular,10,10,3,unknown,no
65,management,married,tertiary,1940,yes,no,unknown,5,12,5,failure,no
32,housemaid,divorced,primary,4295,yes,no,cellular,3,-1,3,unknown,no
25,blue-collar,married,tertiary,1146,no,no,unknown,6,16,2,success,no
31,unemployed,married,secondary,-60,yes,no,cellular,9,-1,1,unknown,no
40,technician,married,tertiary,5456,yes,yes,cellular,6,-1,5,unknown,no
57,blue-collar,single,secondary,9221,yes,no,cellular,2,-1,0,unknown,no
38,unemployed,married,secondary,1867,no,no,telephone,2,15,3,unknown,no
33,housemaid,married,secondary,6196,yes,no,telephone,8,12,2,unknown,no
62,housemaid,single,secondary,4690,no,no,cellular,8,21,3,other,yes
35,technician,married,tertiary,4163,no,no,unknown,6,24,1,unknown,no
64,technician,married,secondary,6562,yes,no,cellular,10,-1,0,unknown,no
70,housemaid,married,tertiary,3831,no,no,cellular,7,-1,1,failure,no
41,unemployed,married,secondary,8996,no,no,unknown,1,-1,5,failure,no
43,admin.,married,secondary,2534,no,yes,unknown,9,20,4,unknown,no
42,entrepreneur,married,secondary,8877,yes,no,unknown,5,-1,1,other,yes
62,self-employed,married,secondary,2762,no,no,cellular,9,19,1,unknown,no
58,services,married,secondary,1607,yes,no,cellular,2,-1,3,other,yes
46,self-employed,single,secondary,6536,no,no,cellular,8,-1,1,success,no
32,blue-collar,divorced,tertiary,9532,yes,no,cellular,7,-1,2,unknown,no
62,student,single,secondary,3820,yes,no,telephone,4,-1,5,unknown,yes
18,blue-collar,single,secondary,5438,no,no,cellular,3,21,3,unknown,no
42,student,married,secondary,2247,no,yes,telephone,4,-1,3,unknown,no
24,unemployed,divorced,primary,4177,no,no,cellular,4,-1,4,unknown,no
26,student,married,primary,7472,yes,yes,cellular,10,-1,5,unknown,no
41,technician,divorced,secondary,3764,yes,no,telephone,10,-1,2,success,no
18,entrepreneur,divorced,secondary,2633,no,no,cellular,8,-1,5,other,no
61,entrepreneur,single,secondary,965,no,no,telephone,4,-1,1,failure,no
25,technician,divorced,primary,3609,no,no,cellular,5,20,4,success,no
41,management,married,secondary,1711,yes,no,telephone,2,-1,2,failure,no
28,self-employed,married,secondary,5039,yes,no,cellular,4,-1,4,failure,no
68,unemployed,married,secondary,9235,no,no,cellular,7,-1,5,unknown,no
34,self-employed,married,secondary,1189,no,no,telephone,3,-1,0,failure,no
25,management,married,secondary,9263,yes,no,unknown,1,-1,5,failure,yes
52,management,single,tertiary,7227,no,yes,cellular,8,-1,1,unknown,no
52,blue-collar,divorced,secondary,7264,yes,no,cellular,8,-1,4,other,yes
50,housemaid,married,tertiary,4041,yes,no,cellular,6,3,0,other,no
22,blue-collar,single,secondary,3041,yes,yes,cellular,7,-1,1,other,no
59,housemaid,divorced,secondary,318,yes,no,telephone,10,11,4,other,yes
56,services,divorced,primary,4021,yes,no,telephone,2,26,4,other,no
58,student,divorced,secondary,624,yes,yes,cellular,5,-1,5,failure,no
45,housemaid,married,tertiary,5160,yes,no,cellular,7,-1,4,unknown,yes
24,self-employed,divorced,tertiary,5141,no,no,telephone,9,-1,4,failure,yes
26,technician,single,secondary,629,yes,no,cellular,1,-1,3,failure,no
25,blue-collar,married,primary,1202,yes,no,cellular,3,14,4,unknown,no
29,unemployed,married,secondary,1501,yes,no,cellular,6,10,5,other,no
51,student,single,tertiary,6412,yes,yes,cellular,7,-1,3,other,no
50,services,married,secondary,3378,no,no,cellular,6,-1,3,unknown,no
65,housemaid,single,tertiary,6732,yes,no,telephone,1,-1,0,unknown,no
40,services,single,secondary,9498,no,no,cellular,4,-1,1,unknown,yes
41,unemployed,married,secondary,5831,no,no,cellular,6,13,3,failure,no
54,management,married,tertiary,5535,yes,no,telephone,8,-1,2,unknown,no
52,entrepreneur,single,primary,9844,yes,no,cellular,10,-1,3,other,yes
61,unemployed,married,primary,6023,yes,no,cellular,4,2,2,failure,no
57,retired,married,tertiary,7611,yes,no,cellular,7,-1,0,unknown,no
39,unemployed,married,primary,8236,no,no,cellular,3,-1,2,unknown,no
44,services,married,secondary,1901,no,no,unknown,8,-1,0,success,no
52,technician,divorced,secondary,8981,yes,no,telephone,1,-1,0,unknown,no
18,blue-collar,married,secondary,9567,yes,no,cellular,4,6,0,unknown,no
52,technician,single,secondary,8474,yes,no,telephone,8,21,2,failure,no
54,services,married,secondary,39,no,no,cellular,10,-1,2,unknown,no
64,blue-collar,married,tertiary,5115,yes,no,unknown,4,25,0,other,no
31,retired,single,secondary,2456,yes,no,cellular,2,-1,0,other,yes
20,entrepreneur,single,tertiary,7577,yes,no,cellular,2,5,1,failure,no
18,student,married,secondary,3222,no,no,cellular,4,18,0,unknown,yes
22,self-employed,married,secondary,9525,no,no,cellular,4,-1,4,other,yes
43,services,married,secondary,4587,yes,no,cellular,2,16,1,unknown,yes
31,housemaid,married,tertiary,9838,yes,no,cellular,7,-1,1,unknown,no
56,services,single,tertiary,5960,no,yes,telephone,6,-1,1,unknown,yes
44,services,married,tertiary,1670,yes,no,cellular,3,1,4,failure,no
26,blue-collar,married,secondary,2891,no,no,unknown,8,19,1,success,yes
32,admin.,married,tertiary,6442,yes,no,cellular,8,21,1,other,no
32,unemployed,divorced,secondary,1116,no,no,telephone,1,-1,2,unknown,no
43,admin.,divorced,secondary,8608,yes,no,unknown,3,-1,5,unknown,no
59,retired,married,secondary,5958,no,no,telephone,5,-1,2,unknown,no
30,housemaid,single,secondary,2256,no,no,unknown,2,29,0,unknown,no
68,entrepreneur,married,secondary,6353,no,yes,telephone,5,-1,0,success,no
49,management,married,primary,7209,no,no,cellular,10,9,3,unknown,no
56,retired,single,primary,1436,no,no,cellular,3,-1,5,failure,yes
66,management,divorced,secondary,2591,yes,no,cellular,9,-1,4,success,no
69,management,divorced,secondary,468,no,no,cellular,1,-1,2,unknown,no
49,entrepreneur,married,secondary,6797,no,no,cellular,4,27,0,unknown,no
21,technician,married,secondary,2703,yes,no,telephone,10,-1,4,failure,no
47,admin.,single,primary,5999,no,no,cellular,6,25,1,other,no
54,services,married,secondary,4673,no,no,cellular,9,-1,4,success,no
40,student,married,tertiary,389,yes,no,cellular,3,-1,2,unknown,no
56,management,married,secondary,8484,yes,no,unknown,3,6,5,failure,no
62,housemaid,single,primary,8673,yes,no,cellular,5,9,3,unknown,no
32,retired,married,secondary,6882,yes,no,cellular,7,22,2,other,yes
60,technician,married,tertiary,3031,yes,no,cellular,5,-1,5,unknown,no
46,management,divorced,secondary,301,yes,no,unknown,8,-1,0,success,no
53,technician,married,tertiary,7734,yes,no,unknown,5,-1,0,failure,no
30,technician,married,secondary,2849,yes,no,telephone,7,-1,4,unknown,no
49,management,married,secondary,7505,no,no,unknown,6,28,2,unknown,no
24,blue-collar,married,primary,9469,yes,no,cellular,10,-1,0,failure,no
68,unemployed,married,primary,2701,yes,no,unknown,2,-1,1,unknown,yes
39,housemaid,married,primary,-151,yes,no,cellular,3,-1,1,unknown,no
45,services,single,tertiary,9259,yes,no,cellular,4,-1,3,other,yes
19,services,married,tertiary,8821,no,no,cellular,5,-1,4,failure,no
59,housemaid,divorced,secondary,9472,no,yes,cellular,9,-1,0,other,no
62,blue-collar,married,secondary,83,no,no,telephone,6,-1,3,unknown,no
70,services,married,secondary,2877,yes,no,cellular,1,-1,1,success,no
23,technician,married,tertiary,5528,no,no,unknown,3,30,3,other,no
45,entrepreneur,married,secondary,7194,yes,no,cellular,7,-1,3,unknown,no
45,retired,single,secondary,5696,yes,no,cellular,8,-1,0,unknown,no
61,admin.,married,tertiary,6583,yes,no,cellular,7,29,0,other,no
61,services,married,tertiary,2901,yes,no,telephone,5,13,0,failure,no
37,housemaid,single,secondary,2685,yes,no,telephone,10,30,4,unknown,no
47,entrepreneur,divorced,secondary,9886,yes,no,cellular,8,28,3,failure,yes
28,management,single,secondary,4785,no,no,cellular,9,-1,3,failure,no
45,unemployed,married,secondary,8854,yes,yes,cellular,7,4,4,unknown,no
42,housemaid,single,secondary,6272,yes,no,cellular,9,-1,1,unknown,no
56,technician,married,tertiary,7990,yes,no,unknown,1,-1,2,unknown,yes
50,unemployed,married,tertiary,2847,no,yes,cellular,9,14,1,failure,no
18,retired,married,tertiary,9631,yes,no,unknown,3,-1,4,unknown,no
44,retired,married,secondary,288,no,no,cellular,6,5,3,failure,no
69,blue-collar,married,tertiary,4445,no,no,cellular,8,9,3,failure,yes
30,student,married,secondary,2389,yes,no,unknown,3,-1,0,unknown,no
58,blue-collar,single,secondary,9069,yes,no,cellular,4,20,0,unknown,no
20,entrepreneur,married,tertiary,4773,yes,no,cellular,7,-1,3,failure,no
56,unemployed,married,secondary,9641,no,no,cellular,7,-1,3,success,no
23,student,married,secondary,2772,yes,no,cellular,4,19,5,failure,yes
25,management,divorced,primary,8569,yes,no,telephone,9,-1,0,unknown,no
44,technician,married,secondary,4734,yes,no,cellular,3,9,0,unknown,no
26,unemployed,married,tertiary,9269,no,no,unknown,8,-1,1,failure,no
54,blue-collar,single,secondary,6402,yes,no,cellular,8,-1,3,other,no
50,admin.,single,tertiary,7112,yes,no,cellular,4,14,3,failure,no
68,self-employed,married,secondary,1992,no,no,cellular,7,-1,4,success,no
59,student,single,secondary,6245,no,no,cellular,4,-1,1,unknown,yes
61,student,single,tertiary,9595,no,no,unknown,1,-1,2,unknown,yes
41,technician,single,secondary,9074,yes,no,telephone,1,22,2,failure,yes
32,services,married,secondary,3740,no,no,cellular,1,-1,2,failure,no
49,retired,single,secondary,1822,no,no,unknown,2,19,5,failure,no
49,retired,married,secondary,4798,yes,no,telephone,6,-1,0,unknown,no
41,admin.,married,secondary,1361,no,no,cellular,10,-1,2,failure,no
58,entrepreneur,married,secondary,6120,yes,no,telephone,5,24,4,unknown,no
69,entrepreneur,married,primary,9558,no,no,cellular,2,-1,0,other,yes
66,management,married,secondary,3547,yes,no,cellular,8,-1,0,failure,no
66,unemployed,single,secondary,7081,no,no,cellular,9,10,2,unknown,no
69,self-employed,married,secondary,6820,yes,no,cellular,7,10,0,failure,yes
29,housemaid,married,secondary,598,no,yes,cellular,9,-1,1,unknown,no
56,services,married,primary,4747,yes,no,cellular,4,-1,1,unknown,yes
19,blue-collar,married,secondary,1234,no,no,cellular,7,10,2,unknown,no
20,housemaid,divorced,primary,4163,no,no,telephone,5,17,4,success,no
66,housemaid,married,secondary,5409,yes,no,unknown,5,10,0,unknown,no
54,student,married,tertiary,2916,no,no,telephone,3,-1,3,success,no
66,admin.,married,tertiary,5802,no,no,cellular,9,30,2,unknown,no
34,retired,married,primary,7093,yes,no,cellular,10,-1,5,unknown,no
66,management,married,tertiary,180,yes,no,cellular,5,-1,0,other,yes
19,entrepreneur,single,tertiary,7663,yes,no,cellular,6,-1,2,other,no
19,self-employed,divorced,secondary,1570,yes,no,cellular,3,-1,2,unknown,yes
